timestamp,seq,device_ms,vibration,adxl_ax,adxl_ay,adxl_az,imu1_roll_deg,imu1_pitch_deg,imu1_total_tilt_deg,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,imu2_roll_deg,imu2_pitch_deg,imu2_total_tilt_deg,distance_cm,mq2_raw,temperature,humidity,buzzer
2026-08-23T06:11:19.626793Z,300,1498289,0,-0.981,-10.827,1.412,0.46,0.44,0.63,-1.166,1.085,10.242,0.025,-0.029,-0.022,0.13,0.14,0.19,21.03,100,23.8,73.0,0
2026-08-23T06:11:24.638333Z,301,1503289,0,-0.824,-10.827,1.373,0.25,-0.38,0.45,-1.166,1.104,10.24,0.023,-0.03,-0.022,0.24,0.14,0.28,21.03,100,23.8,73.0,1
2026-08-23T06:11:29.641638Z,302,1508289,0,-0.941,-10.787,1.373,0.28,0.25,0.38,-1.166,1.101,10.238,0.024,-0.029,-0.023,0.22,0.14,0.26,21.03,100,23.8,73.0,1
2026-08-23T06:11:34.618301Z,303,1513289,0,-1.177,-10.905,1.373,0.2,1.42,1.43,-1.185,1.089,10.25,0.022,-0.028,-0.024,0.15,0.24,0.28,21.03,100,23.8,73.0,0
2026-08-23T06:11:39.617429Z,304,1518289,0,-0.941,-10.827,1.373,0.25,0.23,0.34,-1.144,1.101,10.278,0.023,-0.029,-0.023,0.2,-0.0,0.2,21.44,100,23.8,73.0,0
2026-08-23T06:11:44.646607Z,305,1523289,0,-0.941,-10.709,1.373,0.33,0.29,0.44,-1.164,1.101,10.266,0.022,-0.028,-0.024,0.21,0.11,0.24,21.03,100,23.8,73.0,0
2026-08-23T06:11:49.632723Z,306,1528289,0,-0.981,-10.787,1.294,-0.13,0.47,0.48,-1.178,1.099,10.281,0.023,-0.029,-0.024,0.19,0.18,0.26,21.03,100,23.8,73.0,0
2026-08-23T06:11:54.626106Z,307,1533289,0,-0.863,-10.787,1.334,0.08,-0.15,0.17,-1.147,1.08,10.262,0.023,-0.03,-0.024,0.09,0.03,0.1,21.03,100,23.8,73.0,0
2026-08-23T06:11:59.626554Z,308,1538289,0,-1.02,-10.787,1.412,0.48,0.66,0.82,-1.159,1.111,10.271,0.023,-0.028,-0.024,0.26,0.08,0.27,21.03,100,23.8,73.0,0
2026-08-23T06:12:04.617526Z,309,1543289,0,-0.902,-10.748,1.412,0.51,0.06,0.51,-1.164,1.087,10.245,0.022,-0.029,-0.023,0.14,0.13,0.19,21.03,100,23.8,73.0,0
2026-08-23T06:12:09.616834Z,310,1548289,0,-1.02,-10.866,1.451,0.63,0.62,0.88,-1.166,1.109,10.257,0.023,-0.03,-0.023,0.26,0.13,0.29,21.03,100,23.8,73.0,0
2026-08-23T06:12:14.620117Z,311,1553289,0,-0.941,-10.787,1.334,0.08,0.25,0.27,-1.137,1.087,10.247,0.023,-0.029,-0.023,0.14,-0.02,0.14,22.3,100,23.8,73.0,0
2026-08-23T06:12:19.626576Z,312,1558289,0,-0.824,-10.787,1.373,0.28,-0.36,0.46,-1.176,1.101,10.259,0.023,-0.03,-0.022,0.21,0.18,0.28,21.03,100,23.8,73.0,1
2026-08-23T06:12:24.615857Z,313,1563289,0,-0.902,-10.827,1.412,0.46,0.03,0.46,-1.18,1.077,10.259,0.023,-0.029,-0.024,0.08,0.21,0.22,21.03,100,23.8,73.0,1
2026-08-23T06:12:29.638106Z,314,1568289,0,-0.941,-10.709,1.294,-0.08,0.29,0.3,-1.173,1.087,10.226,0.024,-0.029,-0.023,0.15,0.19,0.24,21.03,100,23.8,73.0,0
2026-08-23T06:12:34.617506Z,315,1573289,0,-1.02,-10.748,1.373,0.31,0.68,0.75,-1.152,1.092,10.24,0.024,-0.03,-0.023,0.17,0.07,0.18,22.3,100,23.8,73.0,0
2026-08-23T06:12:39.617857Z,316,1578289,0,-0.941,-10.827,1.294,-0.16,0.24,0.29,-1.142,1.085,10.269,0.022,-0.029,-0.023,0.12,-0.01,0.12,22.28,100,23.8,73.0,0
2026-08-23T06:12:44.624746Z,317,1583294,0,-0.941,-10.827,1.334,0.05,0.24,0.24,-1.156,1.089,10.235,0.022,-0.03,-0.022,0.16,0.09,0.18,21.03,100,23.8,73.0,0
2026-08-23T06:12:49.706456Z,318,1588294,0,-0.981,-10.866,1.412,0.43,0.42,0.6,-1.164,1.08,10.254,0.023,-0.029,-0.023,0.1,0.12,0.16,21.44,100,23.8,73.0,0
2026-08-23T06:12:54.629658Z,319,1593294,0,-0.863,-10.748,1.412,0.51,-0.14,0.53,-1.178,1.077,10.223,0.023,-0.029,-0.023,0.1,0.22,0.24,22.28,100,23.8,73.0,0
2026-08-23T06:12:59.626584Z,320,1598294,0,-0.941,-10.827,1.373,0.25,0.23,0.34,-1.149,1.075,10.309,0.025,-0.029,-0.023,0.04,0.01,0.04,22.28,100,24.1,73.0,0
2026-08-23T06:13:04.623567Z,321,1603294,0,-0.902,-10.787,1.334,0.08,0.05,0.09,-1.188,1.082,10.295,0.022,-0.029,-0.022,0.09,0.23,0.24,22.28,100,23.8,73.0,0
2026-08-23T06:13:09.766832Z,322,1608294,0,-0.902,-10.787,1.569,1.3,0.04,1.3,-1.192,1.077,10.269,0.023,-0.029,-0.022,0.07,0.27,0.28,21.03,100,23.8,73.0,1
2026-08-23T06:13:14.620356Z,323,1613294,0,-0.902,-10.905,1.451,0.6,-0.01,0.6,-1.161,1.101,10.24,0.022,-0.029,-0.023,0.22,0.11,0.25,21.03,100,23.8,73.0,1
2026-08-23T06:13:19.622230Z,324,1618294,0,-0.902,-10.827,1.294,-0.16,0.04,0.16,-1.164,1.087,10.271,0.023,-0.028,-0.023,0.13,0.11,0.17,21.45,100,23.8,73.0,0
2026-08-23T06:13:24.618510Z,325,1623294,0,-0.941,-10.827,1.373,0.25,0.23,0.34,-1.183,1.106,10.271,0.023,-0.029,-0.023,0.23,0.22,0.32,21.44,100,23.8,73.0,0
2026-08-23T06:13:29.697578Z,326,1628294,0,-1.02,-10.787,1.294,-0.13,0.67,0.68,-1.183,1.104,10.266,0.024,-0.029,-0.023,0.22,0.22,0.31,21.44,100,23.8,73.0,0
2026-08-23T06:13:34.633398Z,327,1633294,0,-0.941,-10.866,1.334,0.02,0.22,0.22,-1.164,1.094,10.269,0.023,-0.029,-0.023,0.17,0.11,0.2,21.03,100,24.1,73.0,0
2026-08-23T06:13:39.625695Z,328,1638294,0,-0.902,-10.827,1.373,0.25,0.03,0.25,-1.183,1.094,10.264,0.024,-0.029,-0.024,0.17,0.22,0.28,21.03,100,23.8,73.0,0
2026-08-23T06:13:44.658638Z,329,1643304,0,-0.941,-10.748,1.334,0.1,0.27,0.29,-1.176,1.082,10.271,0.023,-0.03,-0.023,0.1,0.18,0.2,21.01,100,24.0,73.0,0
